Date,Open,Close,High,Low,Volume
2019-11-26,49.87,51.18,52.11,49.53,45328.93584
2019-11-27,51.15,55.79,57.18,49.85,51583.90909
2019-11-28,55.73,53.81,58.89,53.57,45613.66414
2019-11-29,53.78,55.77,56.12,53.7,25600.45925
2019-11-30,55.72,54.86,56.05,53.58,12013.90841
2019-12-01,54.77,53.38,54.77,52.3,15930.67931
2019-12-02,53.48,53.88,54.58,52.25,20531.8036
2019-12-03,53.91,53.35,55.52,53.23,30911.3637
2019-12-04,53.28,52.61,57.3,51.65,47724.31918
2019-12-05,52.66,53.78,54.2,51.98,48664.38709
2019-12-06,53.74,54.03,55.5,52.82,34846.48127
2019-12-07,54.11,54.38,55.01,53.33,34153.67036
2019-12-08,54.25,53.68,54.82,53.47,18950.19183
2019-12-09,53.7,54.41,54.57,53.01,30648.33654
2019-12-10,54.43,52.7,54.72,52.12,27527.24797
2019-12-11,52.68,52.95,53.48,52.48,21749.40657
2019-12-12,53.0,52.93,53.97,51.01,34317.9408
2019-12-13,52.98,52.49,53.34,52.21,24866.74845
2019-12-14,52.44,51.31,52.72,50.9,22694.45701
2019-12-15,51.23,50.8,52.09,50.64,21132.4551
2019-12-16,50.81,49.11,51.1,48.28,23216.15568
2019-12-17,49.15,45.04,49.4,44.51,44462.38259
2019-12-18,45.08,47.76,49.19,43.75,63959.04777
2019-12-19,47.94,47.45,49.85,46.05,61832.58416
2019-12-20,47.4,46.64,47.54,46.48,40614.58241
2019-12-21,46.69,44.97,46.71,44.91,54748.36588
2019-12-22,44.99,47.34,47.97,44.96,109575.06435
2019-12-23,47.39,47.18,48.61,46.89,95648.58438
2019-12-24,47.18,45.82,47.94,45.55,80341.52655
2019-12-25,45.81,45.99,46.78,45.1,52884.28497
2019-12-26,45.99,45.31,46.55,44.85,44184.96061
2019-12-27,45.34,45.11,46.1,44.53,43084.37401
2019-12-28,45.11,45.43,45.85,44.92,32982.98393
2019-12-29,45.44,46.5,47.13,45.23,40830.83508
2019-12-30,46.53,46.17,46.72,45.62,31217.06684
2019-12-31,46.21,44.69,46.26,44.57,25352.09538
2020-01-01,44.67,45.82,45.89,44.54,18743.63854
2020-01-02,45.82,45.5,46.14,44.31,25354.44426
2020-01-03,45.54,50.93,51.77,45.45,156643.20919
2020-01-04,50.96,50.37,51.37,49.74,35053.35816
2020-01-05,50.35,53.69,54.26,50.34,54781.3655
2020-01-06,53.68,58.91,59.27,53.67,68723.76894
2020-01-07,58.89,58.36,60.17,55.4,76443.13328
2020-01-08,58.36,59.44,60.33,55.23,67288.71434
2020-01-09,59.46,58.68,59.53,56.76,62202.80563
2020-01-10,58.68,58.42,59.65,56.77,84463.61102
2020-01-11,58.43,58.25,64.25,57.9,144805.8889
2020-01-12,58.17,59.19,59.99,57.26,43850.34602
2020-01-13,59.21,57.72,59.22,56.66,53718.20923
2020-01-14,57.79,62.55,63.05,57.69,124253.45431
2020-01-15,62.47,68.47,69.36,61.81,176475.93404
2020-01-16,68.48,65.63,69.0,62.58,68525.82618
2020-01-17,65.65,68.95,72.0,64.05,90653.31089
2020-01-18,68.92,67.0,70.94,66.15,56225.67664
2020-01-19,67.0,65.17,69.47,62.74,48682.74962
2020-01-20,65.23,64.96,66.53,62.17,32916.73105
2020-01-21,64.98,65.87,66.88,64.07,25334.44886
2020-01-22,65.97,65.0,66.55,64.35,25926.81677
2020-01-23,65.09,62.55,65.09,61.15,24642.6579
2020-01-24,62.57,61.67,62.99,58.0,56646.65159
2020-01-25,61.65,61.35,62.57,59.87,20249.99616
2020-01-26,61.25,63.97,64.82,60.79,27159.87227
2020-01-27,64.02,65.44,66.32,63.41,38301.33204
2020-01-28,65.48,67.71,67.9,65.13,42159.48327
2020-01-29,67.87,70.02,70.84,67.34,55474.21068
2020-01-30,69.93,74.83,75.02,68.44,76932.17855
2020-01-31,74.9,72.16,76.02,69.37,95888.3118
2020-02-01,72.16,73.22,73.9,71.2,45816.64286
2020-02-02,73.25,74.89,77.86,70.99,89080.24342
2020-02-03,74.86,76.74,78.23,74.28,105463.1231
2020-02-04,76.77,75.17,77.39,73.7,51998.90241
2020-02-05,75.22,77.84,79.19,74.58,60236.11875
2020-02-06,77.83,78.3,80.11,76.38,52575.27104
2020-02-07,78.26,79.48,80.96,78.21,57073.6271
2020-02-08,79.47,80.64,81.59,76.85,48845.04025
