,date,open,close,high,low,volume
0,2017-11-06,1.5,1.571,1.799,0.5,120615.34
1,2017-11-07,1.571,1.8,1.8,1.5389,134129.73
2,2017-11-08,1.7901,1.9889,1.99,1.7479,347290.26
3,2017-11-09,1.9781,1.99,2.1997,1.9,287037.2
4,2017-11-10,1.99,1.7133,2.02,1.6019,484658.9
5,2017-11-11,1.79,1.655,1.925,1.58,258838.37
6,2017-11-12,1.6567,1.49,1.7,1.34,457159.72
7,2017-11-13,1.5,1.68,1.7381,1.5,166770.73
8,2017-11-14,1.6801,1.5911,1.7381,1.5321,177246.45
9,2017-11-15,1.5721,1.5532,1.6794,1.49,297638.34
10,2017-11-16,1.5533,1.5599,1.6699,1.511,198029.66
11,2017-11-17,1.5599,1.5041,1.5765,1.49,419446.58
12,2017-11-18,1.5041,1.6699,1.6699,1.492,172099.86
13,2017-11-19,1.6524,1.6,1.6948,1.575,179701.62
14,2017-11-20,1.6,1.64,1.6522,1.5605,159737.16
15,2017-11-21,1.6257,1.5874,1.6419,1.54,413447.37
16,2017-11-22,1.5728,1.6158,1.6211,1.5556,196457.62
17,2017-11-23,1.6,1.57,1.618,1.5388,184458.49
18,2017-11-24,1.5644,1.7292,1.8187,1.54,644218.58
19,2017-11-25,1.712,1.87,1.9588,1.68,475443.08
20,2017-11-26,1.85,1.8388,1.91,1.76,193666.26
21,2017-11-27,1.8388,1.9532,1.9532,1.74,480695.73
22,2017-11-28,1.945,1.9249,1.9532,1.801,359515.94
23,2017-11-29,1.9248,1.7565,2.0486,1.55,935739.25
24,2017-11-30,1.7641,1.95,2.038,1.71,748118.06
25,2017-12-01,1.95,2.0527,2.1385,1.8801,321456.28
26,2017-12-02,2.0526,2.0797,2.1199,1.975,241150.68
27,2017-12-03,2.0797,2.2617,2.4,2.0438,346006.6
28,2017-12-04,2.2617,2.55,2.5898,2.2617,384958.49
29,2017-12-05,2.5305,2.612,2.75,2.5,428655.47
30,2017-12-06,2.6,2.5134,2.8,2.3272,379335.63
31,2017-12-07,2.5393,2.6625,2.84,2.4001,533510.45
32,2017-12-08,2.6489,2.79,2.8,2.206,649804.35
33,2017-12-09,2.789,2.65,2.81,2.1777,477826.16
34,2017-12-10,2.65,2.4619,2.6648,2.1315,562267.17
35,2017-12-11,2.4616,2.687,2.78,2.4505,381605.55
36,2017-12-12,2.687,2.5547,2.7397,2.4545,541865.92
37,2017-12-13,2.5547,2.719,2.74,2.265,702146.43
38,2017-12-14,2.7194,3.1519,3.1521,2.6981,998488.09
39,2017-12-15,3.1518,4.12,4.399,2.99,919574.18
40,2017-12-16,4.16,4.6378,4.7201,3.8172,775606.79
41,2017-12-17,4.63,5.999,6.7,4.596,1555662.04
42,2017-12-18,5.999,6.0,6.1,4.75,1430171.07
43,2017-12-19,5.98,5.6999,6.463,5.2725,1784870.53
44,2017-12-20,5.69,5.1502,5.7,4.68,1397302.05
45,2017-12-21,5.1819,5.1596,5.6899,4.42,996548.76
46,2017-12-22,5.1596,4.2912,5.1996,3.25,1599471.66
47,2017-12-23,4.2912,4.4,4.998,4.17,964500.62
48,2017-12-24,4.4,5.181,5.2,3.8,1047106.95
49,2017-12-25,5.1899,6.4631,6.88,5.029,1480881.6
50,2017-12-26,6.4631,9.254,10.793,6.35,3081660.72
51,2017-12-27,9.2861,10.0731,11.3,8.2605,2851073.22
52,2017-12-28,10.07,9.25,10.25,7.8,2593236.47
53,2017-12-29,9.28,8.7094,9.802,8.39,1401565.33
54,2017-12-30,8.6808,7.5947,8.7094,6.9301,1648305.01
55,2017-12-31,7.5783,8.53,8.798,7.5175,1289214.15
56,2018-01-01,8.5478,8.45,8.7,7.8,654338.84
57,2018-01-02,8.45,8.715,9.1133,8.0922,1262633.42
58,2018-01-03,8.7151,9.304,9.4697,8.2653,947392.65
59,2018-01-04,9.304,9.143,9.6511,8.5595,964494.94
60,2018-01-05,9.135,14.8908,16.8172,8.9651,2764977.04
61,2018-01-06,14.8908,22.6,23.6,14.6999,3130487.22
62,2018-01-07,22.6,18.594,22.6599,18.05,1543764.49
63,2018-01-08,18.5375,17.9971,19.2999,14.0018,2112065.22
64,2018-01-09,18.04,17.399,20.6114,16.435,1309277.95
65,2018-01-10,17.3992,17.5,17.5554,14.6004,1172651.15
66,2018-01-11,17.5,21.2024,23.1079,13.66,3542366.83
67,2018-01-12,21.1022,22.1999,25.18,19.1,2902338.37
68,2018-01-13,22.1999,22.0246,23.4998,21.04,1080455.71
69,2018-01-14,22.0252,20.4541,22.1,18.21,1384083.33
70,2018-01-15,20.4546,19.3396,23.231,19.0113,2288556.77
71,2018-01-16,19.4376,13.1996,19.4475,9.89,9933431.45
72,2018-01-17,13.0262,14.1998,15.7,9.4001,9971697.17
73,2018-01-18,14.1191,14.1397,15.9,13.0203,6699252.37
74,2018-01-19,14.0405,14.9447,15.4799,13.501,3004070.17
75,2018-01-20,14.9447,16.1712,16.68,14.8249,2617140.33
76,2018-01-21,16.1602,14.1334,16.26,13.0339,3318363.34
77,2018-01-22,14.1334,12.91,14.4978,11.6101,2873190.83
78,2018-01-23,12.9149,13.1022,13.9,11.637,2335831.96
79,2018-01-24,13.1494,13.8,14.3,12.6,1947186.76
80,2018-01-25,13.7998,13.1905,14.1516,13.01,1427643.05
81,2018-01-26,13.1905,13.1344,13.5989,12.01,1788845.56
82,2018-01-27,13.169,13.3994,13.551,12.85,992878.39
83,2018-01-28,13.3991,13.7739,14.0235,13.3,1377401.9
84,2018-01-29,13.7739,12.815,13.87,12.739,857953.21
85,2018-01-30,12.8295,11.4749,12.98,11.11,1322539.56
86,2018-01-31,11.46,11.3131,11.5483,10.553,947115.48
87,2018-02-01,11.3131,9.5138,11.45,8.63,2169016.01
88,2018-02-02,9.5138,9.7484,10.749,7.3,4023356.31
89,2018-02-03,9.7485,9.7252,10.354,8.5818,2348921.72
90,2018-02-04,9.7497,8.3511,9.7527,8.012,2015678.77
91,2018-02-05,8.4003,6.7315,8.6005,6.0801,3127797.46
92,2018-02-06,6.7216,8.263,8.6,5.5233,6158895.87
93,2018-02-07,8.2502,8.0647,9.236,7.28,4409292.58
94,2018-02-08,8.0979,8.2791,8.3887,8.0012,91986.49
95,2018-02-09,8.2791,9.86,10.0,8.279,2406640.35
96,2018-02-10,9.86,9.2448,10.4444,8.767,3349144.7
97,2018-02-11,9.2501,8.674,9.5,8.02,3021732.48
98,2018-02-12,8.6739,9.3389,9.4348,8.659,1912462.38
99,2018-02-13,9.339,9.016,9.36,8.7306,1365850.96
100,2018-02-14,9.0001,10.4096,10.65,8.953,2568177.67
101,2018-02-15,10.4063,10.8661,11.29,9.9784,4236021.22
102,2018-02-16,10.8784,11.25,11.25,10.3,1968986.94
103,2018-02-17,11.2054,11.66,11.8461,10.85,2278513.2
104,2018-02-18,11.6827,10.6631,11.6827,10.5819,2183910.15
105,2018-02-19,10.6631,11.0601,11.1899,10.5398,1336755.03
106,2018-02-20,11.0699,9.8888,11.2,9.68,2357501.48
107,2018-02-21,9.8888,9.3799,10.2252,9.045,2277445.93
108,2018-02-22,9.395,8.86,9.8129,8.6203,1792778.94
109,2018-02-23,8.8474,9.693,9.7301,8.6,1621549.49
110,2018-02-24,9.7,9.0873,9.8379,8.6902,1356848.25
111,2018-02-25,9.1161,9.35,9.47,8.9,888973.06
112,2018-02-26,9.3677,9.9199,10.0999,9.09,1266163.05
113,2018-02-27,9.9199,10.56,11.1111,9.7713,2377225.58
114,2018-02-28,10.56,10.4536,11.1743,10.3295,1610363.07
115,2018-03-01,10.4641,10.4768,10.68,10.3245,1224834.48
