,date,open,close,high,low,volume
0,2018-05-28,12.49,11.4788,12.65,11.28,3494258.32
1,2018-05-29,11.4853,12.1112,12.465,10.7,6709192.34
2,2018-05-30,12.1113,11.8968,12.82,11.6206,6514864.18
3,2018-05-31,11.8712,12.2353,12.74,11.8116,6540020.8
4,2018-06-01,12.2351,12.2048,12.3889,11.8354,5946136.88
5,2018-06-02,12.2143,14.6976,15.6774,12.1039,9812623.63
6,2018-06-03,14.6976,14.5304,15.451,14.2266,5800716.38
7,2018-06-04,14.5304,13.462,14.8424,13.23,4878116.53
8,2018-06-05,13.4619,14.1996,14.3,12.71,6430602.84
9,2018-06-06,14.1978,13.9072,14.3,13.3677,5958713.33
10,2018-06-07,13.91,14.7207,14.7409,13.6,6061410.77
11,2018-06-08,14.7205,13.9637,14.9,13.55,2727726.06
12,2018-06-09,13.9794,14.15,15.0015,13.92,2592900.65
13,2018-06-10,14.15,11.7313,14.1642,10.98,10540465.95
14,2018-06-11,11.7355,11.7719,11.93,10.61,8878723.1
15,2018-06-12,11.771,10.0909,11.78,9.68,9168694.85
16,2018-06-13,10.0909,10.037,10.47,9.12,10351432.78
17,2018-06-14,10.0312,11.2534,11.7899,9.462,10052349.0
18,2018-06-15,11.2534,10.6547,11.45,10.5107,5408054.38
19,2018-06-16,10.6504,10.5254,10.8667,10.16,6053921.05
20,2018-06-17,10.5254,10.3388,10.75,10.25,1627761.79
21,2018-06-18,10.3388,10.6791,10.899,10.0963,10669784.21
22,2018-06-19,10.6738,10.658,10.9693,10.38,7961229.86
23,2018-06-20,10.6507,10.412,10.7495,10.16,8798849.05
24,2018-06-21,10.4077,10.4099,10.83,10.2032,8923799.16
25,2018-06-22,10.4031,8.5198,10.432,8.246,11547386.83
26,2018-06-23,8.5133,8.4464,8.747,8.068,8165524.12
27,2018-06-24,8.4464,8.06,8.5153,6.92,8983446.42
28,2018-06-25,8.0526,8.3358,8.7,7.668,9612531.13
29,2018-06-26,8.3357,7.576,8.3999,7.5329,5966985.99
30,2018-06-27,7.5518,7.9942,8.26,7.3878,9334245.96
31,2018-06-28,7.995,7.3675,8.087,7.2984,8395130.15
32,2018-06-29,7.364,7.7438,7.95,7.0804,7661045.91
33,2018-06-30,7.7402,8.127,8.298,7.7346,9584422.7
34,2018-07-01,8.1298,8.1164,8.2452,7.761,9547404.62
35,2018-07-02,8.1136,8.9691,9.1744,7.88,8241723.99
36,2018-07-03,8.9665,8.8336,9.4363,8.6051,11219476.51
37,2018-07-04,8.8336,8.9064,9.3955,8.7092,6569646.07
38,2018-07-05,8.9097,8.8328,9.2219,8.6583,8412873.07
39,2018-07-06,8.833,8.6303,8.8735,8.288,4527731.38
40,2018-07-07,8.6449,8.8336,8.8931,8.3517,2062917.31
41,2018-07-08,8.8332,8.6827,8.9801,8.6501,9139546.76
42,2018-07-09,8.6826,7.7092,8.7165,7.5,8872131.76
43,2018-07-10,7.7045,7.1196,7.824,7.0503,6524620.99
44,2018-07-11,7.1199,7.1616,7.3993,6.72,12859537.82
45,2018-07-12,7.1668,6.9207,7.1704,6.54,14581793.54
46,2018-07-13,6.9208,6.8921,7.2245,6.6881,14260068.83
47,2018-07-14,6.8982,6.9237,7.088,6.764,12584240.6
48,2018-07-15,6.9268,7.4075,7.5346,6.852,13645106.84
49,2018-07-16,7.4026,8.0899,8.1819,7.2202,15310182.77
50,2018-07-17,8.0845,8.7826,8.9686,7.83,15072014.32
51,2018-07-18,8.783,8.6018,9.37,8.4287,15368313.36
52,2018-07-19,8.6015,8.4175,8.7592,8.1528,12014171.9
53,2018-07-20,8.422,7.8583,8.6069,7.711,11299468.79
54,2018-07-21,7.8583,8.0,8.2419,7.572,8592901.02
55,2018-07-22,7.9939,7.8488,8.27,7.71,7179671.84
56,2018-07-23,7.8461,7.9353,8.4144,7.7811,5692633.2
57,2018-07-24,7.9336,8.5871,8.6967,7.7165,11998912.88
58,2018-07-25,8.5809,8.532,9.1407,8.3385,14376822.84
59,2018-07-26,8.5307,8.3,8.86,8.19,13521194.47
