,date,open,close,high,low,volume
0,2017-08-17,301.13,302.0,312.18,298.0,7030.71034
1,2017-08-18,302.0,293.96,311.79,283.94,9537.84646
2,2017-08-19,293.31,290.91,299.9,278.0,2146.19773
3,2017-08-20,289.41,299.1,300.53,282.85,2510.13871
4,2017-08-21,299.1,323.29,346.52,294.6,5219.44542
5,2017-08-22,321.04,309.8,330.41,144.21,7956.35088
6,2017-08-23,312.25,315.74,324.99,309.41,8665.72569
7,2017-08-24,315.74,323.42,328.04,314.01,6753.27192
8,2017-08-25,323.42,327.24,338.28,323.42,7125.96962
9,2017-08-26,327.24,330.79,335.44,323.41,4877.68521
10,2017-08-27,332.18,348.13,348.13,330.73,4635.43715
11,2017-08-28,348.11,346.0,351.0,331.95,4279.1817
12,2017-08-29,347.0,374.7,377.6,346.0,3032.13425
13,2017-08-30,374.7,385.93,393.71,362.05,4446.59608
14,2017-08-31,384.64,384.79,389.36,377.78,4435.86855
15,2017-09-01,386.44,388.46,394.39,383.18,4198.68434
16,2017-09-02,388.58,343.14,394.32,320.08,8240.32724
17,2017-09-03,343.56,341.77,367.28,320.08,5253.62211
18,2017-09-04,339.29,283.77,344.55,267.94,6737.81061
19,2017-09-05,286.81,312.09,321.52,235.55,8344.41924
20,2017-09-06,313.29,335.0,336.34,312.09,5486.30988
21,2017-09-07,335.01,334.49,342.5,320.17,3103.89745
22,2017-09-08,334.49,302.99,335.1,272.0,4915.75693
23,2017-09-09,300.01,296.74,307.0,281.66,2740.58822
24,2017-09-10,296.72,293.5,302.78,261.03,4156.45099
25,2017-09-11,293.51,297.3,304.98,285.21,4829.64647
26,2017-09-12,297.78,293.96,316.46,286.01,5176.31402
27,2017-09-13,293.93,276.91,294.5,257.05,6451.22836
28,2017-09-14,275.76,215.21,283.77,215.0,12601.95676
29,2017-09-15,217.0,253.0,270.93,192.0,14223.8953
30,2017-09-16,255.99,249.31,271.81,235.51,10362.06011
31,2017-09-17,249.32,257.55,264.39,239.02,4614.53337
32,2017-09-18,257.53,294.57,306.22,257.11,4125.97051
33,2017-09-19,296.0,284.0,300.0,277.41,1869.90852
34,2017-09-20,284.01,282.0,294.0,275.91,1060.56734
35,2017-09-21,285.1,257.0,287.0,252.1,1912.55583
36,2017-09-22,258.0,264.0,272.97,253.01,1464.5125
37,2017-09-23,259.99,285.93,286.23,255.11,2824.33572
38,2017-09-24,286.5,282.0,294.61,275.0,5575.54422
39,2017-09-25,282.0,294.42,299.0,281.34,5870.48035
40,2017-09-26,294.42,287.9,296.81,286.24,4566.92804
41,2017-09-27,289.91,309.74,313.0,286.13,5518.10382
42,2017-09-28,309.81,302.44,311.81,296.89,6600.90922
43,2017-09-29,302.44,292.22,303.0,274.0,11089.19902
44,2017-09-30,292.62,304.36,307.49,292.22,4020.60795
45,2017-10-01,305.13,303.95,306.0,294.0,5060.05758
46,2017-10-02,303.94,296.5,305.0,295.0,3710.83747
47,2017-10-03,298.15,292.48,301.99,283.18,5546.85702
48,2017-10-04,292.47,291.99,297.97,288.0,4014.88792
49,2017-10-05,290.0,294.81,297.44,285.53,3412.39016
50,2017-10-06,294.78,310.8,310.8,293.78,3541.02359
51,2017-10-07,309.9,311.01,318.5,303.6,2165.79076
52,2017-10-08,311.08,311.07,317.07,309.0,2960.93198
53,2017-10-09,311.13,297.19,312.13,286.65,4885.37863
54,2017-10-10,297.35,298.64,308.56,293.0,6749.27468
55,2017-10-11,300.88,304.01,305.5,298.02,3724.6863
56,2017-10-12,304.01,303.99,310.0,302.71,7827.75596
57,2017-10-13,303.52,337.96,353.96,297.0,17925.36585
58,2017-10-14,337.96,342.0,349.8,335.0,7731.96469
59,2017-10-15,342.0,337.96,348.0,316.17,10011.34708
60,2017-10-16,337.5,335.19,354.0,332.78,8663.47097
61,2017-10-17,335.18,315.19,336.58,312.65,8146.74356
62,2017-10-18,315.19,309.7,318.0,284.68,12908.0454
63,2017-10-19,311.52,308.66,315.0,300.0,8678.74739
64,2017-10-20,308.66,304.51,311.18,302.0,8739.31764
65,2017-10-21,304.51,298.94,305.34,290.0,8591.63121
66,2017-10-22,298.99,293.79,306.99,290.0,7173.06893
67,2017-10-23,293.78,281.09,294.6,272.2,9658.78404
68,2017-10-24,282.27,297.38,310.0,275.5,14066.67924
69,2017-10-25,295.43,294.49,300.0,281.0,9703.09261
70,2017-10-26,294.1,294.71,299.76,291.03,7813.02717
71,2017-10-27,294.72,296.33,298.1,292.03,6272.14802
72,2017-10-28,296.14,291.87,297.0,290.1,5848.86589
73,2017-10-29,291.86,305.0,309.4,291.86,9019.13315
74,2017-10-30,305.0,307.25,316.0,302.1,8946.12026
75,2017-10-31,305.95,304.9,309.99,304.01,7640.41182
76,2017-11-01,304.89,287.01,305.9,286.34,9843.1666
77,2017-11-02,287.3,283.12,293.0,274.73,13423.8572
78,2017-11-03,283.12,304.08,307.0,282.0,8194.03465
79,2017-11-04,304.09,298.04,304.99,292.11,7828.41744
80,2017-11-05,298.1,295.53,302.14,293.13,6638.42119
81,2017-11-06,295.19,297.97,305.58,290.11,7515.50103
82,2017-11-07,297.25,291.78,303.52,287.0,9418.57881
83,2017-11-08,291.31,303.02,320.0,290.02,15961.85772
84,2017-11-09,303.6,317.87,329.0,299.5,11151.29946
85,2017-11-10,318.5,293.5,322.65,285.82,15597.16557
86,2017-11-11,293.52,310.02,318.0,291.91,10850.16279
87,2017-11-12,310.87,305.24,316.99,281.01,21123.15319
88,2017-11-13,304.0,312.99,318.88,303.7,15551.67434
89,2017-11-14,313.0,335.61,337.54,312.94,17709.2227
