Close,Date,High,Low,Open,Volume
3.8506,2020-05-26,3.8594,3.8471,3.8572,45888.57
3.8484,2020-05-26,3.854,3.8446,3.8492,56469.26
3.8517,2020-05-26,3.8557,3.8348,3.8471,100606.57
3.8392,2020-05-26,3.8533,3.8358,3.851,85950.01
3.8164,2020-05-26,3.84,3.8129,3.8374,99946.82
3.8231,2020-05-26,3.83,3.8107,3.8162,49527.79
3.7995,2020-05-26,3.83,3.7897,3.8245,168711.62
3.8029,2020-05-26,3.8062,3.7758,3.8008,114982.24
3.8223,2020-05-26,3.8245,3.7908,3.8029,113782.01
3.8059,2020-05-26,3.8222,3.8012,3.8207,103483.4
3.823,2020-05-26,3.8324,3.8017,3.8026,129728.57
3.8222,2020-05-26,3.8351,3.817,3.8256,72037.44
3.799,2020-05-26,3.8307,3.792,3.8205,105569.6
3.7831,2020-05-26,3.8041,3.7715,3.797,231429.36
3.8026,2020-05-26,3.8052,3.7689,3.7809,91389.26
3.8069,2020-05-26,3.811,3.7921,3.7993,55709.13
3.8189,2020-05-26,3.8215,3.8024,3.8071,101050.77
3.8148,2020-05-26,3.8199,3.8088,3.8199,68405.24
3.8124,2020-05-26,3.82,3.8024,3.8144,35636.77
3.8086,2020-05-27,3.8214,3.804,3.8124,57139.67
3.7934,2020-05-27,3.8094,3.7894,3.8085,45149.69
3.8005,2020-05-27,3.8045,3.784,3.7914,67385.34
3.8222,2020-05-27,3.8291,3.8005,3.8005,138087.82
3.8431,2020-05-27,3.85,3.8224,3.8224,91197.97
3.835,2020-05-27,3.8495,3.828,3.8435,54965.07
3.8234,2020-05-27,3.8354,3.8201,3.8349,27567.47
3.8225,2020-05-27,3.83,3.8131,3.8241,57527.51
3.8408,2020-05-27,3.8431,3.8157,3.8219,55333.52
3.8441,2020-05-27,3.8574,3.8383,3.8409,60415.79
3.844,2020-05-27,3.8483,3.8307,3.8456,52078.34
3.8558,2020-05-27,3.8633,3.8395,3.8436,154332.59
3.8521,2020-05-27,3.8647,3.8431,3.8598,53580.21
3.837,2020-05-27,3.8619,3.8306,3.8514,60270.61
3.84,2020-05-27,3.8499,3.8341,3.8357,28677.99
3.8378,2020-05-27,3.8508,3.8378,3.84,39380.75
3.8171,2020-05-27,3.8397,3.8113,3.8374,38415.83
3.8231,2020-05-27,3.8298,3.8154,3.8198,34738.7
3.8211,2020-05-27,3.8344,3.82,3.8235,35253.88
3.8267,2020-05-27,3.8449,3.8211,3.8211,147788.9
3.8303,2020-05-27,3.8303,3.8134,3.8266,56906.71
3.8178,2020-05-27,3.8347,3.8065,3.8304,75343.08
3.8327,2020-05-27,3.8355,3.8159,3.8185,43813.48
3.8283,2020-05-27,3.8398,3.8226,3.8328,38028.88
3.8257,2020-05-27,3.8326,3.8176,3.8313,30550.37
3.8255,2020-05-27,3.8303,3.8188,3.8257,27490.3
3.8241,2020-05-27,3.8313,3.823,3.8278,20601.15
3.8573,2020-05-27,3.8613,3.8242,3.8243,128635.16
3.8572,2020-05-27,3.8665,3.8486,3.8572,72894.44
3.8638,2020-05-27,3.8723,3.8519,3.8585,87194.95
3.8833,2020-05-27,3.8843,3.8613,3.8638,111643.28
3.8807,2020-05-27,3.8852,3.8689,3.8833,129964.32
3.8999,2020-05-27,3.9,3.88,3.88,259337.58
3.8853,2020-05-27,3.9058,3.8733,3.8999,146202.16
3.893,2020-05-27,3.8983,3.8823,3.8835,99716.48
3.9086,2020-05-27,3.9143,3.8866,3.8926,193606.44
3.9065,2020-05-27,3.9133,3.8921,3.9088,86182.96
3.8954,2020-05-27,3.9092,3.8921,3.9057,104866.15
3.888,2020-05-27,3.8959,3.8774,3.8948,115974.29
3.8863,2020-05-27,3.8939,3.879,3.8869,79050.1
3.8715,2020-05-27,3.8961,3.862,3.8871,109530.99
3.8651,2020-05-27,3.885,3.8602,3.8719,200582.85
3.874,2020-05-27,3.8761,3.861,3.865,51919.19
3.8819,2020-05-27,3.89,3.8692,3.8753,52801.12
3.8833,2020-05-27,3.8943,3.8803,3.8829,60793.4
3.8879,2020-05-27,3.8928,3.8695,3.8834,69852.15
3.8804,2020-05-27,3.8889,3.8762,3.8851,65881.28
3.8747,2020-05-27,3.8848,3.8705,3.8794,45730.78
3.8674,2020-05-28,3.8775,3.8671,3.8748,47050.46
3.8621,2020-05-28,3.8699,3.8523,3.8674,72917.82
3.8673,2020-05-28,3.8705,3.8571,3.8619,34661.36
3.8668,2020-05-28,3.8712,3.8598,3.8674,57335.05
3.8531,2020-05-28,3.8679,3.8508,3.8669,72437.66
3.8531,2020-05-28,3.8558,3.8511,3.8542,30967.43
3.8371,2020-05-28,3.8548,3.8309,3.8546,95433.23
3.8578,2020-05-28,3.8621,3.8334,3.8364,40005.07
3.8553,2020-05-28,3.8588,3.8474,3.857,35392.84
3.8608,2020-05-28,3.8623,3.8466,3.8535,30707.78
3.8526,2020-05-28,3.8723,3.8406,3.8589,120938.56
3.8503,2020-05-28,3.8558,3.8404,3.8542,65759.08
3.861,2020-05-28,3.8693,3.8429,3.8509,53241.28
3.8486,2020-05-28,3.8627,3.84,3.8626,95084.7
3.8445,2020-05-28,3.8554,3.8432,3.8502,38538.13
3.8401,2020-05-28,3.8496,3.8329,3.8434,37419.8
3.8516,2020-05-28,3.8573,3.8396,3.8403,42086.48
3.8479,2020-05-28,3.8557,3.8457,3.8539,23789.09
3.8438,2020-05-28,3.8552,3.841,3.8457,35318.89
3.8458,2020-05-28,3.8513,3.835,3.8424,69531.05
3.84,2020-05-28,3.8494,3.8388,3.843,30280.09
3.8324,2020-05-28,3.8414,3.8322,3.8404,36407.84
3.845,2020-05-28,3.8457,3.827,3.8324,49220.69
3.8579,2020-05-28,3.8663,3.8384,3.8418,39189.38
3.8585,2020-05-28,3.8672,3.8547,3.8577,44602.97
3.8562,2020-05-28,3.861,3.8475,3.8594,55221.61
3.8477,2020-05-28,3.856,3.838,3.856,42108.17
3.8519,2020-05-28,3.8519,3.8376,3.8472,25090.16
3.8521,2020-05-28,3.8567,3.8465,3.8504,29103.28
