,date,open,close,high,low,volume
0,2017-12-13,272.0,290.01,330.0,260.0,9565.16019
1,2017-12-14,290.01,272.4,302.72,252.0,9631.98382
2,2017-12-15,272.4,294.0,314.21,239.99,16579.78235
3,2017-12-16,294.0,293.97,305.0,285.0,9102.10005
4,2017-12-17,293.01,311.4,328.8,290.0,14682.26118
5,2017-12-18,311.23,352.0,360.96,277.0,17210.06137
6,2017-12-19,352.0,338.48,366.96,303.01,23190.32542
7,2017-12-20,336.05,302.7,357.0,260.0,31586.76711
8,2017-12-21,303.8,302.0,325.16,267.01,26212.1583
9,2017-12-22,303.0,250.99,315.0,177.58,81233.42425
10,2017-12-23,250.99,253.44,301.52,214.91,38709.14008
11,2017-12-24,253.44,262.9,277.0,220.03,33435.37202
12,2017-12-25,262.9,261.2,277.5,251.4,24415.6917
13,2017-12-26,261.17,277.98,282.82,258.0,21987.89021
14,2017-12-27,277.98,262.59,284.34,245.29,25036.78582
15,2017-12-28,262.61,244.68,266.7,222.03,34832.27138
16,2017-12-29,244.68,238.27,261.0,233.97,34985.03167
17,2017-12-30,238.27,206.03,244.0,193.2,52930.1782
18,2017-12-31,206.11,223.69,234.37,202.98,29739.10081
19,2018-01-01,223.69,222.61,231.19,212.74,20221.253
20,2018-01-02,222.62,247.33,256.49,222.62,63293.12934
21,2018-01-03,247.33,238.77,253.4,233.56,71369.27484
22,2018-01-04,238.89,233.0,240.0,219.38,78182.30493
23,2018-01-05,233.04,240.54,250.99,230.0,65010.14465
24,2018-01-06,240.95,275.28,315.0,238.73,100812.2137
25,2018-01-07,276.24,269.01,287.0,262.0,43811.61108
26,2018-01-08,269.01,252.65,271.82,212.74,76256.97086
27,2018-01-09,252.49,244.48,257.64,228.24,53921.90417
28,2018-01-10,244.56,247.63,248.99,225.05,70931.30085
29,2018-01-11,247.63,223.77,252.27,195.03,83842.47294
30,2018-01-12,223.76,233.11,240.45,213.01,45676.80703
31,2018-01-13,233.11,257.98,263.99,232.54,42811.12858
32,2018-01-14,257.98,234.12,271.64,222.0,62203.40257
33,2018-01-15,234.26,229.5,242.31,227.6,35755.94861
34,2018-01-16,229.5,179.28,242.0,135.67,150044.07322
35,2018-01-17,179.28,182.44,198.89,136.2,155640.00921
36,2018-01-18,183.45,186.14,202.19,170.5,98372.75595
37,2018-01-19,186.21,191.42,199.0,176.04,59369.45319
38,2018-01-20,191.44,210.4,215.0,190.67,59162.64755
39,2018-01-21,210.05,190.16,210.69,180.0,64817.00761
40,2018-01-22,190.52,178.0,195.0,163.44,60376.3605
41,2018-01-23,178.0,176.98,186.42,163.02,49510.38638
42,2018-01-24,176.94,180.89,186.3,171.58,43298.498
43,2018-01-25,180.83,179.59,186.0,175.58,39819.99079
44,2018-01-26,179.0,177.09,183.06,165.0,49473.65655
45,2018-01-27,175.73,182.1,184.0,173.0,31424.8731
46,2018-01-28,182.11,196.74,198.0,181.7,47275.56346
47,2018-01-29,196.74,181.5,197.19,180.01,36900.24385
48,2018-01-30,181.51,168.21,181.96,160.59,56599.48048
49,2018-01-31,168.1,165.19,169.31,157.5,37253.63137
50,2018-02-01,164.83,143.69,167.2,132.0,64818.91744
51,2018-02-02,144.04,131.68,147.0,108.52,124193.03592
52,2018-02-03,131.99,160.3,166.99,120.06,143242.70975
53,2018-02-04,160.86,147.09,174.75,138.0,300059.19271
54,2018-02-05,147.29,125.17,153.96,116.6,299970.42074
55,2018-02-06,125.17,141.0,147.0,106.5,393108.7479
56,2018-02-07,140.96,137.21,157.0,130.01,178588.57054
57,2018-02-08,137.97,142.37,143.5,137.2,3877.47235
58,2018-02-09,142.37,163.73,164.4,142.37,65205.08736
59,2018-02-10,163.74,154.65,169.0,146.01,133107.16189
60,2018-02-11,154.62,148.28,156.1,139.0,90638.82249
61,2018-02-12,148.28,161.49,163.75,146.04,92515.29686
62,2018-02-13,161.55,159.63,162.95,152.0,76565.21628
63,2018-02-14,159.45,212.25,218.6,158.94,734010.6511
64,2018-02-15,212.25,220.64,236.66,206.5,676400.69461
65,2018-02-16,220.64,228.08,235.58,208.56,408040.45123
66,2018-02-17,228.0,228.0,232.2,222.78,190064.55131
67,2018-02-18,228.08,213.66,231.39,210.1,302164.90588
68,2018-02-19,213.23,221.44,226.5,196.0,171716.19683
69,2018-02-20,221.44,228.51,254.8,221.0,534334.84146
70,2018-02-21,228.5,209.6,233.53,203.12,493443.00002
71,2018-02-22,209.6,192.61,222.0,188.0,396496.5489
72,2018-02-23,192.69,206.4,216.28,182.0,427034.15419
73,2018-02-24,206.38,206.5,219.0,192.3,326443.09261
