Close,Date,High,Low,Open,Volume
62.07,2020-05-27,62.13,61.95,62.13,434.60792
62.08,2020-05-27,62.19,61.97,62.06,550.36285
62.02,2020-05-27,62.18,62.0,62.13,273.82024
62.44,2020-05-27,62.59,62.04,62.04,1374.90946
62.42,2020-05-27,62.61,62.31,62.51,486.07884
62.42,2020-05-27,62.53,62.38,62.49,353.28109
62.49,2020-05-27,62.5,62.34,62.4,496.40877
62.57,2020-05-27,62.58,62.35,62.47,525.51969
63.37,2020-05-27,63.54,62.53,62.54,3129.68267
63.52,2020-05-27,63.57,63.28,63.35,1176.93373
63.89,2020-05-27,63.93,63.48,63.52,1882.44626
64.09,2020-05-27,64.46,63.86,63.92,3349.39757
63.96,2020-05-27,64.15,63.88,64.08,888.32176
64.05,2020-05-27,64.14,63.94,63.96,1180.51568
64.1,2020-05-27,64.18,63.8,64.06,1215.39085
64.22,2020-05-27,64.27,63.93,64.07,1062.45372
64.33,2020-05-27,64.51,64.19,64.23,2100.3322
64.53,2020-05-27,65.47,64.3,64.33,5693.83336
64.8,2020-05-27,64.8,64.41,64.54,1435.82506
65.24,2020-05-27,65.54,64.8,64.8,3016.31117
64.92,2020-05-27,65.57,64.9,65.24,4142.01396
65.25,2020-05-27,65.32,64.91,64.92,859.38054
65.09,2020-05-27,65.35,64.9,65.26,1562.71189
64.94,2020-05-27,65.09,64.83,65.08,591.05542
64.8,2020-05-28,64.97,64.75,64.94,620.60584
64.63,2020-05-28,64.79,64.47,64.76,603.27807
64.87,2020-05-28,64.91,64.53,64.57,1132.37819
64.82,2020-05-28,64.99,64.74,64.87,1010.04186
64.67,2020-05-28,64.95,64.67,64.84,523.66222
64.2,2020-05-28,64.68,64.19,64.68,1324.98494
63.84,2020-05-28,64.23,63.74,64.21,1404.60462
64.17,2020-05-28,64.29,63.73,63.83,1599.63931
64.12,2020-05-28,64.26,64.02,64.15,221.995
64.27,2020-05-28,64.35,64.03,64.09,619.14649
64.47,2020-05-28,64.65,64.23,64.24,1547.70422
64.51,2020-05-28,64.63,64.33,64.5,1752.99958
64.61,2020-05-28,64.75,64.17,64.53,2159.39129
64.32,2020-05-28,64.65,64.18,64.6,4446.70231
63.95,2020-05-28,64.31,63.94,64.31,740.52219
63.78,2020-05-28,63.96,63.61,63.95,1701.13659
64.12,2020-05-28,64.12,63.78,63.78,855.36729
63.98,2020-05-28,64.12,63.97,64.11,426.57446
64.02,2020-05-28,64.08,63.9,63.95,516.34612
63.92,2020-05-28,64.0,63.77,64.0,1597.45632
63.78,2020-05-28,63.89,63.73,63.89,634.18754
63.68,2020-05-28,63.84,63.66,63.75,819.48921
63.96,2020-05-28,63.98,63.54,63.63,677.90659
63.81,2020-05-28,63.94,63.79,63.94,566.80857
63.69,2020-05-28,63.84,63.58,63.77,650.27863
63.73,2020-05-28,63.78,63.62,63.7,453.97747
63.45,2020-05-28,63.71,63.28,63.71,966.73765
63.47,2020-05-28,63.52,63.16,63.41,884.25096
63.78,2020-05-28,63.78,63.42,63.42,1874.67926
63.86,2020-05-28,63.86,63.58,63.74,867.80989
63.83,2020-05-28,63.9,63.61,63.84,1432.4879
63.68,2020-05-28,63.94,63.67,63.84,802.76595
63.51,2020-05-28,63.7,63.51,63.67,481.8769
63.96,2020-05-28,64.0,63.48,63.55,757.95627
64.27,2020-05-28,64.38,63.89,63.92,1530.08702
64.67,2020-05-28,65.0,64.13,64.29,2531.59366
64.74,2020-05-28,65.0,64.63,64.68,1186.09032
64.79,2020-05-28,65.2,64.72,64.85,1156.93836
65.2,2020-05-28,65.3,64.78,64.78,4898.38103
65.98,2020-05-28,66.53,65.2,65.24,7791.2414
65.83,2020-05-28,66.0,65.71,65.99,1399.11276
65.46,2020-05-28,66.26,65.39,65.85,8549.20723
65.78,2020-05-28,65.92,65.37,65.48,2198.00891
65.94,2020-05-28,66.29,65.56,65.81,1603.48328
66.08,2020-05-28,66.2,65.95,65.95,441.16896
66.19,2020-05-28,66.33,65.98,66.1,1561.45277
66.23,2020-05-28,66.33,66.08,66.17,797.71984
66.24,2020-05-28,66.33,66.16,66.27,648.15403
66.22,2020-05-29,66.84,66.21,66.21,3051.24732
66.67,2020-05-29,66.84,66.11,66.24,1095.88953
66.73,2020-05-29,66.91,66.64,66.69,1187.69974
66.4,2020-05-29,66.89,66.37,66.74,1005.99803
66.36,2020-05-29,66.44,66.28,66.43,488.62542
66.72,2020-05-29,66.89,66.28,66.34,2100.2283
66.46,2020-05-29,66.67,66.46,66.67,146.02664
66.59,2020-05-29,66.62,66.45,66.48,960.8646
66.8,2020-05-29,66.89,66.54,66.61,1862.34761
67.41,2020-05-29,67.54,66.78,66.78,2878.82163
67.15,2020-05-29,67.56,66.91,67.44,728.85496
67.34,2020-05-29,67.4,67.06,67.13,1601.91721
67.24,2020-05-29,67.89,67.17,67.35,2901.06304
67.1,2020-05-29,67.44,66.9,67.25,1118.27947
67.13,2020-05-29,67.33,67.06,67.11,801.03746
67.04,2020-05-29,67.29,66.97,67.14,1141.86534
67.29,2020-05-29,67.31,67.02,67.04,443.92913
67.2,2020-05-29,67.39,67.2,67.28,771.03374
67.27,2020-05-29,67.39,67.14,67.2,537.92588
67.37,2020-05-29,67.44,67.24,67.24,482.64252
67.12,2020-05-29,67.36,67.08,67.33,415.58474
67.1,2020-05-29,67.17,66.77,67.09,362.18603
67.21,2020-05-29,67.21,67.09,67.15,343.36497
67.21,2020-05-29,67.21,67.08,67.18,986.10344
